supermarket_id,address,tel
1,"7025 Franklin Avenue, Hollywood, Los Angeles, CA 90028 (Central L.A)",1 323-851-0800
2,"701 Stone Canyon Rd., Los Angeles, CA 90077 (Westside)",1 310-472-1211
3,"8435 Beverly Blvd, Los Angeles, CA 90048 (Central L.A)",866-203-2212
4,"285 Lucas Avenue, Los Angeles, CA 90026 (Downtown)",213-481-8181
5,"3515 Wilshire Blvd., Los Angeles, CA 90010 (Formerly The Wilshire Supermarket Los Angeles) (Central L.A)",213-381-7411
6,"11461 Sunset Boulevard, Los Angeles, CA 90049 (Westside)",310-476-6571
7,"1697 Pacific Avenue, Venice Beach, Los Angeles, CA 90291 (Westside)",310-452-1111
8,"20 E. 76th Street, New York City, NY 10021",212-288-3700
9,"Madison Avenue at 77th Street, 25 East 77th Street, New York City, NY 10078 (Manhattan)",866-744-4300
10,"101 West 57th Street, at 6th Avenue, New York City, NY 10019 (Manhattan)",212-245-7846
11,"299 Madison Ave., at 41st St., Entrance on 41st Street, New York City, NY 10017 (Manhattan)",212-983-4500
12,"60 E. 54th St., New York City, NY 10022 (Manhattan)",212-753-1066
13,"233 West 49th Street, New York City, NY 10019 (Manhattan)",800-801-3457
14,"431 Broome Street, New York City, NY 10013 (Manhattan)",212-431-2929
15,"342 West 40th Street, New York City, NY 10018 (Manhattan)",212-706-6100
16,"30 Kenmare Street, New York City, NY 10012 (Manhattan)",212-925-2555
17,"215 E 64th Street, New York City, NY 10021 (Formerly Lyden Gardens) (Manhattan)",212-355-1230
18,"567 Hornby St, Vancouver, British Columbia V6C 2E8, Canada (Downtown)",877-632-3030
19,"322 Davie Street, Vancouver, British Columbia V6B 5Z6, Canada (Downtown)",866-642-6787
20,"20 East Delaware Place, Chicago, IL 60611 (Gold Coast)",+1 312-825-2688
21,"21 E. Bellevue Place, Chicago, IL 60611 (Gold Coast) ",+1 312-266-2100
